Age,Gender,Item Purchased,Category,Location,Discount Applied,Previous Purchases
42,Male,Shirt,Clothing,Nevada,Yes,38
68,Male,Hoodie,Clothing,New Jersey,Yes,34
49,Male,Blouse,Clothing,Maryland,Yes,39
59,Male,Skirt,Clothing,Vermont,Yes,7
42,Male,T-shirt,Clothing,Alaska,Yes,26
29,Male,Skirt,Clothing,Mississippi,Yes,35
47,Male,Coat,Outerwear,New Mexico,Yes,35
40,Male,Jacket,Outerwear,South Carolina,Yes,49
41,Male,Backpack,Accessories,Mississippi,Yes,46
21,Male,Coat,Outerwear,West Virginia,Yes,17
69,Male,Hoodie,Clothing,Missouri,Yes,29
63,Male,Belt,Accessories,Louisiana,Yes,4
50,Male,Sweater,Clothing,Idaho,Yes,17
55,Male,Scarf,Accessories,Texas,Yes,21
30,Male,Sneakers,Footwear,Mississippi,Yes,31
33,Male,Sunglasses,Accessories,Arizona,Yes,43
65,Male,Boots,Footwear,Alabama,Yes,18
65,Male,Backpack,Accessories,New Jersey,Yes,44
31,Male,Blouse,Clothing,Pennsylvania,Yes,3
45,Male,Coat,Outerwear,Connecticut,Yes,49
57,Male,Handbag,Accessories,Utah,Yes,21
48,Male,Belt,Accessories,Tennessee,Yes,5
22,Male,Belt,Accessories,Alabama,Yes,32
36,Male,Dress,Clothing,Virginia,Yes,34
18,Male,Dress,Clothing,Georgia,Yes,21
48,Male,Pants,Clothing,Hawaii,Yes,43
49,Male,Gloves,Accessories,Indiana,Yes,3
64,Male,Scarf,Accessories,Utah,Yes,21
50,Male,Hat,Accessories,Delaware,Yes,32
22,Male,Dress,Clothing,Delaware,Yes,36
50,Male,Skirt,Clothing,Nebraska,Yes,50
38,Male,Jacket,Outerwear,Iowa,Yes,43
19,Male,Sandals,Footwear,New York,Yes,24
67,Male,Shoes,Footwear,Virginia,Yes,36
19,Male,Pants,Clothing,Georgia,Yes,21
36,Male,Dress,Clothing,Texas,Yes,34
52,Male,Coat,Outerwear,Arizona,Yes,42
53,Male,Sunglasses,Accessories,New Mexico,Yes,2
24,Male,Hoodie,Clothing,Nevada,Yes,47
52,Male,Shoes,Footwear,Ohio,Yes,44
33,Male,T-shirt,Clothing,Wyoming,Yes,35
47,Male,Jacket,Outerwear,California,Yes,15
25,Male,Hat,Accessories,South Carolina,Yes,29
44,Male,Scarf,Accessories,South Carolina,Yes,18
61,Male,Jacket,Outerwear,Texas,Yes,13
37,Male,Sweater,Clothing,Florida,Yes,46
58,Male,Skirt,Clothing,Nevada,Yes,28
37,Male,Sneakers,Footwear,Missouri,Yes,48
32,Male,Gloves,Accessories,Delaware,Yes,43
21,Male,Shoes,Footwear,Virginia,Yes,37
20,Male,Jeans,Clothing,New York,Yes,20
26,Male,Hoodie,Clothing,Missouri,Yes,33
62,Male,Sunglasses,Accessories,South Dakota,Yes,31
27,Male,Coat,Outerwear,North Dakota,Yes,50
51,Male,Socks,Clothing,Oklahoma,Yes,35
54,Male,Boots,Footwear,West Virginia,Yes,22
55,Male,Sunglasses,Accessories,New Hampshire,Yes,1
69,Male,Backpack,Accessories,New York,Yes,4
64,Male,Jacket,Outerwear,Minnesota,Yes,31
28,Male,Sneakers,Footwear,Maryland,Yes,46
70,Male,Socks,Clothing,Montana,Yes,32
58,Male,T-shirt,Clothing,Alabama,Yes,43
56,Male,Backpack,Accessories,New York,Yes,26
26,Male,Belt,Accessories,Massachusetts,Yes,9
37,Male,Gloves,Accessories,Florida,Yes,28
44,Male,Hat,Accessories,New Jersey,Yes,20
70,Male,Coat,Outerwear,Massachusetts,Yes,9
53,Male,Skirt,Clothing,Wyoming,Yes,48
55,Male,Shoes,Footwear,Virginia,Yes,12
50,Male,Sandals,Footwear,South Dakota,Yes,29
50,Male,Sweater,Clothing,Kentucky,Yes,27
38,Male,Coat,Outerwear,Wyoming,Yes,44
64,Male,Hat,Accessories,West Virginia,Yes,32
19,Male,Shorts,Clothing,Virginia,Yes,11
40,Male,Backpack,Accessories,Washington,Yes,44
57,Male,Sweater,Clothing,Louisiana,Yes,46
44,Male,Sweater,Clothing,Nevada,Yes,50
49,Male,Shorts,Clothing,California,Yes,45
43,Male,Shorts,Clothing,Mississippi,Yes,48
24,Male,Sweater,Clothing,Mississippi,Yes,26
20,Male,Scarf,Accessories,California,Yes,21
24,Male,Dress,Clothing,Pennsylvania,Yes,49
44,Male,Scarf,Accessories,Kentucky,Yes,13
28,Male,Skirt,Clothing,Maine,Yes,46
30,Male,Backpack,Accessories,New Mexico,Yes,42
52,Male,Sweater,Clothing,Montana,Yes,25
43,Male,Hat,Accessories,Texas,Yes,25
43,Male,Sandals,Footwear,Kansas,Yes,12
39,Male,Blouse,Clothing,South Carolina,Yes,4
68,Male,Sneakers,Footwear,Colorado,Yes,38
68,Male,Skirt,Clothing,Georgia,Yes,42
49,Male,Coat,Outerwear,Florida,Yes,30
63,Male,Shirt,Clothing,North Carolina,Yes,50
56,Male,Gloves,Accessories,Virginia,Yes,45
37,Male,Jacket,Outerwear,Nebraska,Yes,33
30,Male,Coat,Outerwear,Missouri,Yes,25
19,Male,Shoes,Footwear,New Jersey,Yes,25
24,Male,Jewelry,Accessories,Missouri,Yes,44
52,Male,Skirt,Clothing,Colorado,Yes,21
63,Male,Shoes,Footwear,Idaho,Yes,31
37,Male,Gloves,Accessories,Wyoming,Yes,47
38,Male,Pants,Clothing,Delaware,Yes,14
35,Male,Boots,Footwear,California,Yes,17
28,Male,Sunglasses,Accessories,North Dakota,Yes,3
30,Male,Shirt,Clothing,South Carolina,Yes,42
69,Male,Hoodie,Clothing,North Carolina,Yes,22
41,Male,Dress,Clothing,Oklahoma,Yes,21
63,Male,Socks,Clothing,Maine,Yes,21
35,Male,Shorts,Clothing,Missouri,Yes,40
36,Male,Hat,Accessories,Vermont,Yes,1
25,Male,Shirt,Clothing,Connecticut,Yes,50
58,Male,Gloves,Accessories,New Hampshire,Yes,39
27,Male,Gloves,Accessories,Texas,Yes,34
65,Male,Backpack,Accessories,North Dakota,Yes,29
54,Male,Sunglasses,Accessories,California,Yes,31
54,Male,Skirt,Clothing,Virginia,Yes,8
59,Male,Handbag,Accessories,Delaware,Yes,5
42,Male,Handbag,Accessories,Kentucky,Yes,7
46,Male,Sneakers,Footwear,Delaware,Yes,30
33,Male,Gloves,Accessories,Arkansas,Yes,14
34,Male,Shoes,Footwear,Louisiana,Yes,5
27,Male,Jacket,Outerwear,Nevada,Yes,3
52,Male,Shirt,Clothing,Wyoming,Yes,46
29,Male,Shorts,Clothing,Virginia,Yes,4
54,Male,Jewelry,Accessories,Nebraska,Yes,42
25,Male,Hat,Accessories,Hawaii,Yes,30
41,Male,Shoes,Footwear,Vermont,Yes,37
53,Male,Coat,Outerwear,Oklahoma,Yes,2
53,Male,Backpack,Accessories,New Hampshire,Yes,30
21,Male,Hoodie,Clothing,Kansas,Yes,47
61,Male,Skirt,Clothing,Idaho,Yes,21
64,Male,Boots,Footwear,Illinois,Yes,9
51,Male,Sandals,Footwear,South Dakota,Yes,12
32,Male,Pants,Clothing,Massachusetts,Yes,4
38,Male,Gloves,Accessories,Alabama,Yes,10
58,Male,Skirt,Clothing,Ohio,Yes,26
32,Male,Sneakers,Footwear,Hawaii,Yes,40
46,Male,T-shirt,Clothing,Wisconsin,Yes,34
39,Male,Backpack,Accessories,Minnesota,Yes,31
19,Male,Shoes,Footwear,Georgia,Yes,1
50,Male,Hoodie,Clothing,Arkansas,Yes,5
36,Male,Blouse,Clothing,West Virginia,Yes,4
65,Male,Coat,Outerwear,Indiana,Yes,48
64,Male,Hat,Accessories,Utah,Yes,29
46,Male,Shoes,Footwear,Nebraska,Yes,12
36,Male,Belt,Accessories,North Dakota,Yes,29
51,Male,Backpack,Accessories,Missouri,Yes,15
51,Male,Jacket,Outerwear,New York,Yes,34
38,Male,Boots,Footwear,Washington,Yes,41
59,Male,Scarf,Accessories,South Carolina,Yes,41
57,Male,Jewelry,Accessories,Utah,Yes,39
54,Male,Hat,Accessories,Idaho,Yes,32
25,Male,Dress,Clothing,Pennsylvania,Yes,29
69,Male,Blouse,Clothing,Missouri,Yes,15
57,Male,Hat,Accessories,Nebraska,Yes,33
70,Male,Scarf,Accessories,Indiana,Yes,18
24,Male,Sneakers,Footwear,Arizona,Yes,35
67,Male,Shirt,Clothing,Hawaii,Yes,25
24,Male,T-shirt,Clothing,Wisconsin,Yes,6
62,Male,Gloves,Accessories,Rhode Island,Yes,17
57,Male,Skirt,Clothing,Wisconsin,Yes,17
55,Male,Sandals,Footwear,Minnesota,Yes,44
45,Male,Jacket,Outerwear,Vermont,Yes,6
69,Male,Skirt,Clothing,South Dakota,Yes,45
67,Male,Handbag,Accessories,Virginia,Yes,7
30,Male,Handbag,Accessories,Nevada,Yes,11
24,Male,Jacket,Outerwear,Hawaii,Yes,41
62,Male,Scarf,Accessories,New Jersey,Yes,24
43,Male,Shorts,Clothing,Massachusetts,Yes,21
35,Male,Sunglasses,Accessories,Oklahoma,Yes,24
28,Male,T-shirt,Clothing,California,Yes,8
32,Male,Belt,Accessories,Nevada,Yes,12
39,Male,Sneakers,Footwear,Arizona,Yes,48
28,Male,Hat,Accessories,North Carolina,Yes,6
47,Male,Gloves,Accessories,New York,Yes,14
20,Male,Pants,Clothing,Wyoming,Yes,34
63,Male,Socks,Clothing,South Dakota,Yes,12
25,Male,Jacket,Outerwear,Arkansas,Yes,11
29,Male,Shoes,Footwear,Texas,Yes,5
50,Male,Jeans,Clothing,Rhode Island,Yes,25
18,Male,Socks,Clothing,New Hampshire,Yes,11
70,Male,Sandals,Footwear,Ohio,Yes,27
66,Male,Scarf,Accessories,Utah,Yes,43
28,Male,Blouse,Clothing,Tennessee,Yes,18
54,Male,Jewelry,Accessories,Hawaii,Yes,32
19,Male,Sweater,Clothing,Arizona,Yes,27
20,Male,Gloves,Accessories,South Dakota,Yes,24
43,Male,Sunglasses,Accessories,New Jersey,Yes,31
38,Male,Coat,Outerwear,North Dakota,Yes,39
50,Male,Dress,Clothing,Iowa,Yes,36
64,Male,Skirt,Clothing,Ohio,Yes,5
49,Male,Pants,Clothing,Vermont,Yes,47
47,Male,Sweater,Clothing,Montana,Yes,29
36,Male,Hoodie,Clothing,Delaware,Yes,43
55,Male,Coat,Outerwear,New York,Yes,40
25,Male,Jewelry,Accessories,Kentucky,Yes,4
53,Male,Belt,Accessories,Oregon,Yes,39
49,Male,Sandals,Footwear,Rhode Island,Yes,45
35,Male,Sunglasses,Accessories,Nevada,Yes,20
29,Male,Sweater,Clothing,Montana,Yes,14
47,Male,Belt,Accessories,Pennsylvania,Yes,33
53,Male,Handbag,Accessories,Alaska,Yes,18
33,Male,Skirt,Clothing,Mississippi,Yes,9
21,Male,Handbag,Accessories,Wyoming,Yes,34
32,Male,Shorts,Clothing,Delaware,Yes,33
52,Male,Boots,Footwear,Oklahoma,Yes,15
67,Male,Sunglasses,Accessories,Indiana,Yes,4
43,Male,Scarf,Accessories,Maryland,Yes,25
58,Male,Jewelry,Accessories,South Dakota,Yes,20
20,Male,Handbag,Accessories,West Virginia,Yes,5
61,Male,Gloves,Accessories,Alabama,Yes,16
32,Male,Jeans,Clothing,Louisiana,Yes,13
38,Male,Hat,Accessories,Montana,Yes,11
21,Male,Jeans,Clothing,California,Yes,21
37,Male,Pants,Clothing,Hawaii,Yes,6
27,Male,Shorts,Clothing,Iowa,Yes,29
36,Male,Pants,Clothing,Colorado,Yes,15
32,Male,Backpack,Accessories,Michigan,Yes,17
51,Male,Jewelry,Accessories,Louisiana,Yes,32
64,Male,Sweater,Clothing,Maryland,Yes,42
68,Male,Shoes,Footwear,Georgia,Yes,21
68,Male,Blouse,Clothing,Georgia,Yes,9
33,Male,Jeans,Clothing,North Dakota,Yes,16
65,Male,Sunglasses,Accessories,Maryland,Yes,42
48,Male,Jewelry,Accessories,Oregon,Yes,37
69,Male,Coat,Outerwear,North Dakota,Yes,32
59,Male,Jewelry,Accessories,Maryland,Yes,28
48,Male,Backpack,Accessories,Virginia,Yes,13
25,Male,Skirt,Clothing,South Dakota,Yes,11
29,Male,Shirt,Clothing,Georgia,Yes,36
57,Male,Sweater,Clothing,Hawaii,Yes,23
23,Male,Sneakers,Footwear,Arkansas,Yes,37
45,Male,Sandals,Footwear,Montana,Yes,21
38,Male,Belt,Accessories,Oklahoma,Yes,22
21,Male,Skirt,Clothing,Minnesota,Yes,9
32,Male,Sweater,Clothing,Montana,Yes,16
63,Male,Skirt,Clothing,Ohio,Yes,4
29,Male,Handbag,Accessories,Kentucky,Yes,3
27,Male,Jewelry,Accessories,Nebraska,Yes,6
56,Male,Scarf,Accessories,Delaware,Yes,18
30,Male,T-shirt,Clothing,North Carolina,Yes,34
49,Male,Coat,Outerwear,New York,Yes,26
58,Male,T-shirt,Clothing,Colorado,Yes,50
57,Male,Dress,Clothing,Delaware,Yes,40
60,Male,Shoes,Footwear,Utah,Yes,24
69,Male,Handbag,Accessories,Connecticut,Yes,33
70,Male,Skirt,Clothing,New Jersey,Yes,19
53,Male,Sunglasses,Accessories,West Virginia,Yes,24
25,Male,Sandals,Footwear,Indiana,Yes,19
48,Male,Shoes,Footwear,Delaware,Yes,4
69,Male,T-shirt,Clothing,Maryland,Yes,11
25,Male,Sneakers,Footwear,Pennsylvania,Yes,28
29,Male,Hat,Accessories,Iowa,Yes,24
46,Male,Skirt,Clothing,Pennsylvania,Yes,25
37,Male,Sweater,Clothing,Delaware,Yes,27
20,Male,Sandals,Footwear,Oregon,Yes,49
40,Male,Dress,Clothing,Oregon,Yes,45
60,Male,Sweater,Clothing,Utah,Yes,26
26,Male,Jacket,Outerwear,North Dakota,Yes,4
29,Male,Gloves,Accessories,Florida,Yes,3
66,Male,Handbag,Accessories,Maryland,Yes,45
66,Male,Dress,Clothing,Minnesota,Yes,21
56,Male,Pants,Clothing,Montana,Yes,50
69,Male,Jeans,Clothing,Rhode Island,Yes,19
38,Male,Pants,Clothing,Massachusetts,Yes,6
42,Male,Dress,Clothing,Vermont,Yes,50
30,Male,Pants,Clothing,New Jersey,Yes,17
66,Male,Jewelry,Accessories,Wisconsin,Yes,24
36,Male,Handbag,Accessories,California,Yes,46
58,Male,Sweater,Clothing,West Virginia,Yes,42
45,Male,Backpack,Accessories,South Dakota,Yes,10
47,Male,Shorts,Clothing,Maine,Yes,1
66,Male,Jewelry,Accessories,Kansas,Yes,28
41,Male,Sneakers,Footwear,Vermont,Yes,48
41,Male,Belt,Accessories,Tennessee,Yes,47
66,Male,Hoodie,Clothing,Tennessee,Yes,29
37,Male,Shirt,Clothing,Wyoming,Yes,37
70,Male,Pants,Clothing,Vermont,Yes,38
62,Male,Scarf,Accessories,New Jersey,Yes,48
61,Male,Coat,Outerwear,Iowa,Yes,36
48,Male,Coat,Outerwear,Florida,Yes,9
70,Male,Socks,Clothing,Nevada,Yes,34
46,Male,Sweater,Clothing,North Dakota,Yes,43
31,Male,Shirt,Clothing,Florida,Yes,46
19,Male,Shirt,Clothing,New York,Yes,5
39,Male,Sweater,Clothing,Alaska,Yes,15
41,Male,Blouse,Clothing,Kansas,Yes,30
20,Male,Sweater,Clothing,Oregon,Yes,44
36,Male,Hat,Accessories,Rhode Island,Yes,16
32,Male,Sweater,Clothing,New Mexico,Yes,16
69,Male,Hoodie,Clothing,Massachusetts,Yes,16
40,Male,Shorts,Clothing,Pennsylvania,Yes,21
40,Male,Shorts,Clothing,New Jersey,Yes,39
20,Male,Hat,Accessories,Utah,Yes,40
64,Male,Coat,Outerwear,Kentucky,Yes,48
27,Male,Sandals,Footwear,Nebraska,Yes,26
24,Male,Skirt,Clothing,Virginia,Yes,46
48,Male,Shoes,Footwear,Wyoming,Yes,27
49,Male,Jeans,Clothing,New Mexico,Yes,5
36,Male,Sandals,Footwear,Oregon,Yes,43
56,Male,Blouse,Clothing,South Carolina,Yes,17
37,Male,Hat,Accessories,Arizona,Yes,3
42,Male,Sweater,Clothing,Kentucky,Yes,47
28,Male,Skirt,Clothing,New York,Yes,24
27,Male,Jeans,Clothing,Texas,Yes,12
63,Male,Sneakers,Footwear,Missouri,Yes,35
58,Male,Jewelry,Accessories,Pennsylvania,Yes,42
37,Male,Jewelry,Accessories,Oregon,Yes,1
56,Male,Pants,Clothing,Nevada,Yes,27
18,Male,Belt,Accessories,Arkansas,Yes,16
48,Male,Hat,Accessories,Minnesota,Yes,36
31,Male,Sneakers,Footwear,Georgia,Yes,30
51,Male,Pants,Clothing,Rhode Island,Yes,18
65,Male,T-shirt,Clothing,Nevada,Yes,45
53,Male,Sneakers,Footwear,Texas,Yes,1
55,Male,Shorts,Clothing,Florida,Yes,42
62,Male,Shoes,Footwear,North Dakota,Yes,7
55,Male,Gloves,Accessories,West Virginia,Yes,50
64,Male,Socks,Clothing,Nebraska,Yes,37
52,Male,Dress,Clothing,Tennessee,Yes,18
24,Male,Handbag,Accessories,Oklahoma,Yes,29
38,Male,Belt,Accessories,Wisconsin,Yes,45
59,Male,Scarf,Accessories,Oregon,Yes,13
27,Male,Sneakers,Footwear,North Carolina,Yes,47
24,Male,Sweater,Clothing,Pennsylvania,Yes,7
23,Male,Coat,Outerwear,North Dakota,Yes,11
69,Male,Jewelry,Accessories,Ohio,Yes,39
59,Male,Sunglasses,Accessories,Oklahoma,Yes,6
51,Male,Shoes,Footwear,South Carolina,Yes,2
63,Male,Scarf,Accessories,Maine,Yes,39
54,Male,Dress,Clothing,Nevada,Yes,23
32,Male,T-shirt,Clothing,Montana,Yes,46
39,Male,Backpack,Accessories,New Hampshire,Yes,19
66,Male,Jewelry,Accessories,Maine,Yes,3
28,Male,Jeans,Clothing,California,Yes,47
50,Male,Sunglasses,Accessories,West Virginia,Yes,6
70,Male,Sweater,Clothing,California,Yes,6
67,Male,Shorts,Clothing,West Virginia,Yes,12
64,Male,Jewelry,Accessories,Louisiana,Yes,40
45,Male,Coat,Outerwear,Georgia,Yes,38
22,Male,Handbag,Accessories,Washington,Yes,10
27,Male,Boots,Footwear,Virginia,Yes,28
25,Male,Gloves,Accessories,Indiana,Yes,19
37,Male,Sweater,Clothing,Minnesota,Yes,25
26,Male,T-shirt,Clothing,Idaho,Yes,38
33,Male,Shoes,Footwear,Vermont,Yes,6
43,Male,Scarf,Accessories,North Dakota,Yes,7
37,Male,Sneakers,Footwear,Rhode Island,Yes,2
46,Male,Dress,Clothing,South Carolina,Yes,24
22,Male,Belt,Accessories,Mississippi,Yes,26
20,Male,Boots,Footwear,Montana,Yes,25
60,Male,Scarf,Accessories,Idaho,Yes,10
39,Male,Boots,Footwear,Utah,Yes,14
43,Male,T-shirt,Clothing,Oklahoma,Yes,21
31,Male,Backpack,Accessories,California,Yes,26
19,Male,Sneakers,Footwear,Nevada,Yes,12
35,Male,T-shirt,Clothing,Delaware,Yes,11
41,Male,Jeans,Clothing,South Carolina,Yes,15
52,Male,Gloves,Accessories,Maryland,Yes,13
45,Male,Hoodie,Clothing,North Carolina,Yes,5
34,Male,Sneakers,Footwear,Alabama,Yes,36
35,Male,Shorts,Clothing,Minnesota,Yes,32
29,Male,Sweater,Clothing,Virginia,Yes,1
59,Male,Jeans,Clothing,Michigan,Yes,15
24,Male,Jacket,Outerwear,Maine,Yes,3
70,Male,Jewelry,Accessories,Nevada,Yes,48
29,Male,Backpack,Accessories,Wyoming,Yes,30
67,Male,Coat,Outerwear,Connecticut,Yes,40
36,Male,Belt,Accessories,Oregon,Yes,24
23,Male,Sandals,Footwear,Mississippi,Yes,48
18,Male,Sweater,Clothing,Illinois,Yes,27
53,Male,Shorts,Clothing,Utah,Yes,14
32,Male,Socks,Clothing,North Carolina,Yes,18
38,Male,Shirt,Clothing,Kentucky,Yes,48
47,Male,Pants,Clothing,Minnesota,Yes,32
46,Male,Scarf,Accessories,New York,Yes,21
66,Male,Sweater,Clothing,Illinois,Yes,42
40,Male,Jeans,Clothing,North Dakota,Yes,4
43,Male,Pants,Clothing,Louisiana,Yes,19
58,Male,Backpack,Accessories,Illinois,Yes,6
21,Male,Coat,Outerwear,Wyoming,Yes,2
42,Male,Sandals,Footwear,Washington,Yes,21
24,Male,Shirt,Clothing,Texas,Yes,40
43,Male,Hat,Accessories,New Hampshire,Yes,33
47,Male,Shirt,Clothing,Indiana,Yes,26
49,Male,Skirt,Clothing,Alabama,Yes,23
50,Male,Shoes,Footwear,Oklahoma,Yes,39
51,Male,Coat,Outerwear,Montana,Yes,42
40,Male,Pants,Clothing,Tennessee,Yes,41
45,Male,Jewelry,Accessories,New Mexico,Yes,41
52,Male,Belt,Accessories,Iowa,Yes,12
62,Male,Jacket,Outerwear,Idaho,Yes,31
20,Male,Shirt,Clothing,Oklahoma,Yes,34
43,Male,Hoodie,Clothing,Florida,Yes,32
29,Male,Sunglasses,Accessories,Michigan,Yes,31
22,Male,Sunglasses,Accessories,Hawaii,Yes,24
48,Male,Dress,Clothing,California,Yes,31
42,Male,Boots,Footwear,Iowa,Yes,18
19,Male,Shirt,Clothing,West Virginia,Yes,15
60,Male,Shorts,Clothing,Washington,Yes,7
32,Male,Gloves,Accessories,Missouri,Yes,35
26,Male,Jewelry,Accessories,New York,Yes,35
25,Male,Boots,Footwear,Connecticut,Yes,19
66,Male,Jewelry,Accessories,Virginia,Yes,26
45,Male,Pants,Clothing,Missouri,Yes,39
54,Male,Jewelry,Accessories,Nebraska,Yes,22
37,Male,Jacket,Outerwear,New Jersey,Yes,14
54,Male,Blouse,Clothing,Utah,Yes,50
50,Male,Blouse,Clothing,North Carolina,Yes,33
25,Male,Gloves,Accessories,Rhode Island,Yes,48
47,Male,Shorts,Clothing,Arkansas,Yes,48
63,Male,Hat,Accessories,Maryland,Yes,27
64,Male,Shoes,Footwear,South Carolina,Yes,27
18,Male,Boots,Footwear,Ohio,Yes,20
59,Male,Jacket,Outerwear,Illinois,Yes,48
37,Male,Jewelry,Accessories,Georgia,Yes,29
23,Male,Sunglasses,Accessories,Alabama,Yes,45
54,Male,Skirt,Clothing,Oklahoma,Yes,25
38,Male,Jeans,Clothing,Vermont,Yes,25
19,Male,Backpack,Accessories,Nebraska,Yes,37
34,Male,Backpack,Accessories,Georgia,Yes,16
21,Male,Shorts,Clothing,Alabama,Yes,30
50,Male,Dress,Clothing,Minnesota,Yes,6
55,Male,Scarf,Accessories,Missouri,Yes,36
20,Male,Jeans,Clothing,Georgia,Yes,3
34,Male,Coat,Outerwear,West Virginia,Yes,29
62,Male,Sweater,Clothing,Arkansas,Yes,15
21,Male,Sneakers,Footwear,Ohio,Yes,18
21,Male,Scarf,Accessories,Connecticut,Yes,2
42,Male,Sweater,Clothing,North Dakota,Yes,49
35,Male,Jewelry,Accessories,Kansas,Yes,48
39,Male,Handbag,Accessories,Iowa,Yes,43
68,Male,Hoodie,Clothing,Vermont,Yes,30
46,Male,Hat,Accessories,Wisconsin,Yes,10
41,Male,Belt,Accessories,Connecticut,Yes,11
23,Male,Hoodie,Clothing,Oklahoma,Yes,12
68,Male,Hat,Accessories,Missouri,Yes,28
48,Male,Shoes,Footwear,Tennessee,Yes,36
38,Male,Sandals,Footwear,New Mexico,Yes,37
41,Male,Jacket,Outerwear,Iowa,Yes,22
58,Male,Sweater,Clothing,Maine,Yes,32
49,Male,Socks,Clothing,South Dakota,Yes,40
57,Male,Sneakers,Footwear,Colorado,Yes,47
49,Male,Coat,Outerwear,Vermont,Yes,24
50,Male,Shirt,Clothing,Michigan,Yes,11
28,Male,Backpack,Accessories,Nevada,Yes,19
38,Male,Boots,Footwear,Indiana,Yes,42
33,Male,Handbag,Accessories,Michigan,Yes,6
30,Male,Dress,Clothing,California,Yes,31
43,Male,Sneakers,Footwear,Oklahoma,Yes,31
43,Male,Boots,Footwear,Iowa,Yes,27
36,Male,Shoes,Footwear,Rhode Island,Yes,24
36,Male,T-shirt,Clothing,Washington,Yes,35
64,Male,Boots,Footwear,Florida,Yes,21
59,Male,Pants,Clothing,South Carolina,Yes,8
55,Male,Shoes,Footwear,West Virginia,Yes,26
42,Male,Shoes,Footwear,Missouri,Yes,26
61,Male,T-shirt,Clothing,Maine,Yes,9
28,Male,Scarf,Accessories,Georgia,Yes,48
65,Male,Shorts,Clothing,Maine,Yes,33
27,Male,Jewelry,Accessories,Illinois,Yes,31
41,Male,T-shirt,Clothing,Delaware,Yes,17
21,Male,Shirt,Clothing,West Virginia,Yes,22
61,Male,Shirt,Clothing,Hawaii,Yes,8
19,Male,Gloves,Accessories,New York,Yes,2
22,Male,Scarf,Accessories,New Mexico,Yes,45
64,Male,Skirt,Clothing,Indiana,Yes,47
28,Male,Hat,Accessories,Kentucky,Yes,7
34,Male,Hoodie,Clothing,West Virginia,Yes,19
61,Male,Boots,Footwear,North Dakota,Yes,44
24,Male,Blouse,Clothing,Oregon,Yes,16
19,Male,Belt,Accessories,Minnesota,Yes,17
51,Male,Sunglasses,Accessories,South Carolina,Yes,20
36,Male,Shorts,Clothing,Vermont,Yes,50
65,Male,Gloves,Accessories,Minnesota,Yes,37
46,Male,Sandals,Footwear,Delaware,Yes,5
59,Male,Shirt,Clothing,Pennsylvania,Yes,44
51,Male,Coat,Outerwear,Iowa,Yes,41
51,Male,Pants,Clothing,New Jersey,Yes,19
